Episode,MeanReward,StdReward,MeanSteps,StdSteps,MeanSuccess,StdSuccess
1,-5.044999999999997,22.07105876481699,98.498,7.940906497371673,0.048,0.21376622745419832
2,-8.148399999999999,13.679193596115187,99.502,4.649085501472238,0.018,0.1329511188369626
3,-6.521799999999996,18.542469758907448,99.252,5.10063682298595,0.034,0.1812291367302729
4,-7.339799999999999,16.284215546350417,99.424,4.4411962352501995,0.026,0.15913516267626143
5,-6.924599999999999,17.490223979126213,99.276,5.1575017207946985,0.03,0.17058722109231936
6,-7.321399999999999,16.39761452285049,99.24,5.616262102145884,0.026,0.1591351626762615
7,-6.930999999999997,17.45313436033773,99.34,4.6130683931630845,0.03,0.17058722109231939
8,-7.328,16.35586916064082,99.306,4.848542461400147,0.026,0.15913516267626138
9,-7.111199999999998,17.022408600430158,99.14,5.680528144459849,0.028,0.1649727250184097
10,-6.728999999999997,17.992343343767143,99.322,4.5319218881176635,0.032,0.17599999999999888
11,-6.078199999999995,19.735412454772664,98.82,6.849204333351439,0.038,0.19119623427253948
12,-7.127799999999996,16.926130306718022,99.306,5.333325791661358,0.028,0.16497272501841015
13,-6.7171999999999965,18.0595122902032,99.204,5.832528096803246,0.032,0.17599999999999869
14,-6.927999999999995,17.469764051068342,99.31,4.5932450402738025,0.03,0.170587221092319
15,-6.936399999999998,17.422828560253993,99.394,4.52225209381344,0.03,0.17058722109231916
16,-7.745399999999998,15.034146428713592,99.476,4.18729315907066,0.022,0.14668333238647152
17,-5.702399999999997,20.52805578324443,99.066,5.67993345031435,0.042,0.20058913230781
18,-7.520599999999999,15.814083458740143,99.23,5.754050747082419,0.024,0.15304901175767197
19,-6.1031999999999975,19.608838562240184,99.07,5.5133565094232875,0.038,0.19119623427253907
20,-6.931599999999997,17.450924372078475,99.346,5.021780958982589,0.03,0.17058722109231925
21,-6.312799999999997,19.082347763312423,99.164,5.170793362724904,0.036,0.18629009635512023
22,-6.950599999999998,17.34053458345501,99.536,3.1819340030868144,0.03,0.17058722109231922
23,-7.1329999999999965,16.895288426067243,99.358,5.0320806829779325,0.028,0.16497272501840962
24,-6.114399999999999,19.553130507414863,99.182,5.285534599262408,0.038,0.19119623427253943
25,-6.904199999999999,17.605490119846113,99.072,5.914289137335119,0.03,0.1705872210923191
26,-5.890599999999997,20.13570390227272,98.946,6.48961354781625,0.04,0.19595917942265395
27,-7.328999999999996,16.350410973428247,99.316,5.015590094894085,0.026,0.15913516267626168
28,-5.494,21.006759959593897,98.984,5.974256773858997,0.044,0.20509509989270885
29,-3.8577999999999952,24.314574213010587,98.638,6.623817328399081,0.06,0.23748684174075763
30,-4.677199999999998,22.729553452718697,98.824,6.057476702390236,0.052,0.22202702538204755
31,-5.088199999999995,21.877414855508047,98.93,5.947528898626687,0.048,0.21376622745419793
32,-4.651599999999995,22.83984101170577,98.568,7.307898193051108,0.052,0.22202702538204744
33,-3.416399999999997,25.182288439297945,98.228,8.390233369817576,0.064,0.24475293665245432
34,-5.085999999999993,21.887987664470067,98.908,6.302026340789113,0.048,0.21376622745419746
35,-4.6557999999999975,22.822285300994878,98.61,7.276943039491299,0.052,0.2220270253820476
36,-3.6307999999999976,24.778746767340778,98.37,8.082146991981817,0.062,0.24115555146004938
37,-3.4117999999999946,25.19883967090555,98.182,8.221002128694488,0.064,0.24475293665245446
38,-5.2987999999999955,21.412748505504876,99.034,5.813505310911779,0.046,0.20948508300115293
39,-1.3975999999999973,28.41107872362479,98.06,7.9586682303008045,0.084,0.2773878151613719
40,-4.0815999999999955,23.85338176108381,98.874,5.4360025754224885,0.058,0.23374344910606693
41,-3.6501999999999954,24.701438418845186,98.564,6.863374097337257,0.062,0.24115555146004913
42,-2.6107999999999962,26.531446311122885,98.18,7.79535759282404,0.072,0.2584879107424561
43,-2.6247999999999907,26.481930914493343,98.32,7.640000000000037,0.072,0.25848791074245603
44,-1.5649999999999908,28.228382082577834,97.732,9.450723570182289,0.082,0.2743647207641666
45,-4.2595999999999945,23.57232885906702,98.652,6.936778503022907,0.056,0.22992172581119943
46,-3.461399999999997,25.00795493518003,98.678,6.217259524903279,0.064,0.24475293665245448
47,-2.2135999999999907,27.154661755212413,98.212,8.094384226116242,0.076,0.26499811320083017
48,0.4890000000000168,31.12894118019444,97.212,10.46704619269443,0.102,0.30264831075028403
49,-1.1371999999999878,28.89730396005833,97.458,9.62851161914445,0.086,0.2803640490505157
50,0.44200000000001843,30.987233435723276,97.682,8.619099488925766,0.102,0.3026483107502843
51,-0.1213999999999848,30.320188687407533,97.31,10.263815080173682,0.096,0.2945912422323511
52,-2.134799999999992,27.42926665005822,97.424,10.331516055255427,0.076,0.26499811320083044
53,-1.7615999999999865,27.942779486657997,97.696,9.435019024888069,0.08,0.2712931993250098
54,-1.1593999999999962,28.82481381795886,97.68,8.972268386534136,0.086,0.2803640490505157
55,0.30560000000001253,30.92391645054024,97.044,11.074748936206158,0.1,0.2999999999999996
56,-1.814799999999996,27.761197758021815,98.228,7.57601583947659,0.08,0.2712931993250096
57,2.547800000000003,33.66763156445661,96.644,11.026026664215857,0.122,0.3272858078194047
58,3.3702000000000063,34.59572129555902,96.428,11.772205230966723,0.13,0.3363034344160046
59,3.5772000000000044,34.82485491943937,96.36,12.10067766697389,0.132,0.3384907679686391
60,3.415800000000007,34.71397312841037,95.972,12.80434363800038,0.13,0.3363034344160046
61,4.568600000000001,35.817740772416215,96.456,11.120974058058,0.142,0.3490501396647777
62,1.6866000000000096,32.584611098492566,97.248,9.389275584410118,0.114,0.3178112647468629
63,1.2476000000000127,31.997555754150905,97.634,8.5304187470487,0.11,0.3128897569432386
64,2.577800000000008,33.75062439659443,96.344,12.400389671296656,0.122,0.3272858078194053
65,6.466200000000004,37.736278003534004,95.498,12.759702034138535,0.16,0.3666060555964659
66,5.600800000000001,36.853816618635214,96.144,10.960988276610783,0.152,0.3590208907570682
67,5.596400000000002,36.84370973504158,96.188,10.970718116878261,0.152,0.3590208907570683
68,7.51,38.69834389221332,95.07,13.485440296853525,0.17,0.3756327994198582
69,8.0774,39.12321036469275,95.402,12.778278287781944,0.176,0.3808201675331814
70,7.312600000000006,38.53587343294543,95.042,13.68576764379701,0.168,0.37386628625753393
71,8.929200000000002,39.87017766902963,94.892,13.19379914960061,0.184,0.38748419322599487
72,3.54440000000001,34.73782360252294,96.688,10.535210296904346,0.132,0.3384907679686393
73,9.751600000000002,40.52655496634256,94.676,13.474087130488613,0.192,0.39387307600291666
74,8.311800000000003,39.35824946259682,95.06,12.996938100952873,0.178,0.3825127448857082
